"Time";"Displacement"
"2020-11-30T19:05";4
"2020-11-30T19:10";4
"2020-11-30T19:15";4
"2020-11-30T19:20";4
"2020-11-30T19:26";5
"2020-11-30T19:31";5
"2020-11-30T19:36";3
"2020-11-30T19:41";3
"2020-11-30T19:46";4
"2020-11-30T19:51";5
"2020-11-30T19:56";4
"2020-11-30T20:01";4
"2020-11-30T20:07";4
"2020-11-30T20:12";3
"2020-11-30T20:17";3
"2020-11-30T20:22";4
"2020-11-30T20:32";4
"2020-11-30T20:37";4
"2020-11-30T20:42";3
"2020-11-30T20:48";3
"2020-11-30T20:53";4
"2020-11-30T20:58";5
"2020-11-30T21:03";4
"2020-11-30T21:08";4
"2020-11-30T21:13";4
"2020-11-30T21:18";3
"2020-11-30T21:23";3
"2020-11-30T21:29";3
"2020-11-30T21:34";4
"2020-11-30T21:39";3
"2020-11-30T21:44";4
"2020-11-30T21:49";5
"2020-11-30T21:54";4
"2020-11-30T21:59";3
"2020-11-30T22:04";3
"2020-11-30T22:10";4
"2020-11-30T22:15";5
"2020-11-30T22:20";5
"2020-11-30T22:25";4
"2020-11-30T22:30";3
"2020-11-30T22:35";5
"2020-11-30T22:40";4
"2020-11-30T22:45";5
"2020-11-30T22:51";3
"2020-11-30T22:56";3
"2020-11-30T23:01";3
"2020-11-30T23:06";3
"2020-11-30T23:11";3
"2020-11-30T23:16";4
"2020-11-30T23:21";3
"2020-11-30T23:26";4
"2020-11-30T23:32";4
"2020-11-30T23:37";4
"2020-11-30T23:42";3
"2020-11-30T23:47";4
"2020-11-30T23:52";4
"2020-11-30T23:57";4
"2020-12-01T00:02";5
"2020-12-01T00:07";5
"2020-12-01T00:13";3
"2020-12-01T00:18";4
"2020-12-01T00:23";3
"2020-12-01T00:28";3
"2020-12-01T00:33";4
"2020-12-01T00:38";3
"2020-12-01T00:43";3
"2020-12-01T00:48";3
"2020-12-01T00:53";4
"2020-12-01T00:59";4
"2020-12-01T01:04";4
"2020-12-01T01:09";4
"2020-12-01T01:14";4
"2020-12-01T01:19";3
"2020-12-01T01:24";3
"2020-12-01T01:29";4
"2020-12-01T01:34";3
"2020-12-01T01:39";3
"2020-12-01T01:45";4
"2020-12-01T01:50";4
"2020-12-01T01:55";4
"2020-12-01T02:00";3
"2020-12-01T02:05";3
"2020-12-01T02:10";4
"2020-12-01T02:15";4
"2020-12-01T02:20";5
"2020-12-01T02:26";4
"2020-12-01T02:31";5
"2020-12-01T02:36";3
"2020-12-01T02:41";3
"2020-12-01T02:46";4
"2020-12-01T02:51";3
"2020-12-01T02:56";5
"2020-12-01T03:02";5
"2020-12-01T03:07";3
"2020-12-01T03:12";3
"2020-12-01T03:22";4
"2020-12-01T03:27";3
"2020-12-01T03:32";4
"2020-12-01T03:37";4
"2020-12-01T03:42";4
"2020-12-01T03:48";3
"2020-12-01T03:53";3
"2020-12-01T03:58";4
"2020-12-01T04:03";3
"2020-12-01T04:08";4
"2020-12-01T04:13";4
"2020-12-01T04:18";3
"2020-12-01T04:23";3
"2020-12-01T04:28";4
"2020-12-01T04:34";4
"2020-12-01T04:39";3
